Date,Account Name,Number,Description,Notes,Memo,Category,Type,Action,Reconcile,To With Sym,From With Sym,To Num.,From Num.,To Rate/Price,From Rate/Price
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$825.10,,-825.10,,1.00
,,,,,,REMOVED88,S,Invoice,Y,,"-C$16,502.00",,"-16,502.00",,1.00
2012-12-30,Accounts Receivable,326,WSX,,,-- Split Transaction --,T,Invoice,Y,"C$8,423.07",,"8,423.07",,,
,,,,,,Accounts Receivable,S,Invoice,Y,"C$8,423.07",,"8,423.07",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$730.77,,-730.77,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$366.30,,-366.30,,1.00
,,,,,,REMOVED88,S,Invoice,Y,,"-C$7,326.00",,"-7,326.00",,1.00
2013-01-04,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"-C$11,120.79",,"-11,120.79",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$11,120.79",,"11,120.79",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$11,120.79",,"-11,120.79",,1.00,
2013-01-04,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"C$11,120.79",,"11,120.79",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$11,120.79",,"11,120.79",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$11,120.79",,"-11,120.79",,1.00,
2013-01-04,Accounts Receivable,1,WSX,,WSX,Checking Account,T,Payment,N,"-C$11,121.00",,"-11,121.00",,,
,,,,,,Checking Account,S,Payment,N,,"C$11,121.00",,"11,121.00",,1.00
,,,,,WSX,Accounts Receivable,S,Payment,N,"-C$11,121.00",,"-11,121.00",,1.00,
2013-01-18,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"-C$18,973.00",,"-18,973.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$18,973.00",,"18,973.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$18,973.00",,"-18,973.00",,1.00,
2013-01-18,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"C$18,973.00",,"18,973.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$18,973.00",,"18,973.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$18,973.00",,"-18,973.00",,1.00,
2013-01-18,Accounts Receivable,7,WSX,,WSX,Checking Account,T,Payment,N,"-C$18,973.00",,"-18,973.00",,,
,,,,,,Checking Account,S,Payment,N,,"C$18,973.00",,"18,973.00",,1.00
,,,,,WSX,Accounts Receivable,S,Payment,N,"-C$18,973.00",,"-18,973.00",,1.00,
2013-01-19,Accounts Receivable,,"Bill payment error missing#323 10.03 with other mismatching payments due to rounded invoices from WSX, transfered as bad debt",,,Bad debts,T,,N,-C$9.77,,-9.77,,,
,,,,,,Bad debts,S,,N,,C$9.77,,9.77,,1.00
,,,,,,Accounts Receivable,S,,N,-C$9.77,,-9.77,,1.00,
2013-01-20,Accounts Receivable,327,IVS,,,-- Split Transaction --,T,Invoice,N,"C$8,848.48",,"8,848.48",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$8,848.48",,"8,848.48",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$767.68,,-767.68,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$384.80,,-384.80,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$7,696.00",,"-7,696.00",,1.00
2013-02-10,Accounts Receivable,329,IVS,,,-- Split Transaction --,T,Invoice,N,"C$16,463.28",,"16,463.28",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$16,463.28",,"16,463.28",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,"-C$1,428.32",,"-1,428.32",,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$715.96,,-715.96,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$14,319.00",,"-14,319.00",,1.00
2013-02-14,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"-C$8,423.07",,"-8,423.07",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$8,423.07",,"8,423.07",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$8,423.07",,"-8,423.07",,1.00,
2013-02-14,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"C$8,423.07",,"8,423.07",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$8,423.07",,"8,423.07",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$8,423.07",,"-8,423.07",,1.00,
2013-02-14,Accounts Receivable,9,WSX,,WSX,Checking Account,T,Payment,N,"-C$8,423.07",,"-8,423.07",,,
,,,,,,Checking Account,S,Payment,N,,"C$8,423.07",,"8,423.07",,1.00
,,,,,WSX,Accounts Receivable,S,Payment,N,"-C$8,423.07",,"-8,423.07",,1.00,
2013-02-19,Accounts Receivable,,RREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"-C$1,437.19",,"-1,437.19",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$1,437.19",,"1,437.19",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$1,437.19",,"-1,437.19",,1.00,
2013-02-19,Accounts Receivable,,RREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"C$1,437.19",,"1,437.19",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$1,437.19",,"1,437.19",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$1,437.19",,"-1,437.19",,1.00,
2013-02-19,Accounts Receivable,11,RREMOVED,,RREMOVED,Checking Account,T,Payment,N,"-C$1,437.19",,"-1,437.19",,,
,,,,,,Checking Account,S,Payment,N,,"C$1,437.19",,"1,437.19",,1.00
,,,,,RREMOVED,Accounts Receivable,S,Payment,N,"-C$1,437.19",,"-1,437.19",,1.00,
2013-03-07,Accounts Receivable,3,ISV,,ISV,Checking Account,T,Payment,N,"-C$8,848.48",,"-8,848.48",,,
,,,,,,Checking Account,S,Payment,N,,"C$8,848.48",,"8,848.48",,1.00
,,,,,ISV,Accounts Receivable,S,Payment,N,"-C$8,848.48",,"-8,848.48",,1.00,
2013-03-10,Accounts Receivable,330,IVS,,,-- Split Transaction --,T,Invoice,N,"C$13,832.65",,"13,832.65",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$13,832.65",,"13,832.65",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,"-C$1,200.10",,"-1,200.10",,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$601.55,,-601.55,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$12,031.00",,"-12,031.00",,1.00
2013-03-28,Accounts Receivable,10,ISV,,ISV,Checking Account,T,Payment,N,"-C$13,832.64",,"-13,832.64",,,
,,,,,,Checking Account,S,Payment,N,,"C$13,832.64",,"13,832.64",,1.00
,,,,,ISV,Accounts Receivable,S,Payment,N,"-C$13,832.64",,"-13,832.64",,1.00,
2013-04-07,Accounts Receivable,331,IVS,,,-- Split Transaction --,T,Invoice,N,"C$10,953.38",,"10,953.38",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$10,953.38",,"10,953.38",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$950.29,,-950.29,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$476.34,,-476.34,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$9,526.75",,"-9,526.75",,1.00
2013-05-07,Accounts Receivable,4,Depot au comptoir /CAISSE CENTRALE DESJ.,payment IVS 331 and tax credit,Depot au comptoir /CAISSE CENTRALE DESJ.,-- Split Transaction --,T,Payment,N,"-C$10,953.38",,"-10,953.38",,,
,,,,,,Checking Account,S,Payment,N,,"C$11,953.38",,"11,953.38",,1.00
,,,,,Depot au comptoir /CAISSE CENTRALE DESJ.,Accounts Receivable,S,Payment,N,"-C$10,953.38",,"-10,953.38",,1.00,
,,,,,Depot au comptoir /CAISSE CENTRALE DESJ.,Canada,S,,N,,"-C$1,000.00",,"-1,000.00",,1.00
2013-05-12,Accounts Receivable,333,IVS,,,-- Split Transaction --,T,Invoice,N,"C$16,635.74",,"16,635.74",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$16,635.74",,"16,635.74",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,"-C$1,443.28",,"-1,443.28",,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$723.46,,-723.46,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$14,469.00",,"-14,469.00",,1.00
2013-05-17,Accounts Receivable,6,ISV,329,ISV,Checking Account,T,Payment,N,"-C$16,463.27",,"-16,463.27",,,
,,,,,,Checking Account,S,Payment,N,,"C$16,463.27",,"16,463.27",,1.00
,,,,,ISV,Accounts Receivable,S,Payment,N,"-C$16,463.27",,"-16,463.27",,1.00,
2013-08-18,Accounts Receivable,336,HSREMOVED,,,-- Split Transaction --,T,Invoice,N,"C$4,280.80",,"4,280.80",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$4,280.80",,"4,280.80",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$371.39,,-371.39,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$186.16,,-186.16,,1.00
,,,,,,ExpoCite,S,Invoice,N,,"-C$3,723.25",,"-3,723.25",,1.00
2013-08-27,Accounts Receivable,3,HSREMOVED,,,-- Split Transaction --,T,,N,-C$0.20,,-0.20,,,
,,,,,,Checking Account,S,Payment,N,,"C$4,281.00",,"4,281.00",,1.00
,,,,,HSREMOVED,Accounts Receivable,S,Payment,N,"-C$4,280.80",,"-4,280.80",,1.00,
,,,,,,Accounts Receivable,S,,N,-C$0.20,,-0.20,,1.00,
2013-08-27,Accounts Receivable,3,HSREMOVED,,HSREMOVED,-- Split Transaction --,T,Payment,N,"-C$4,280.80",,"-4,280.80",,,
,,,,,,Checking Account,S,Payment,N,,"C$4,281.00",,"4,281.00",,1.00
,,,,,HSREMOVED,Accounts Receivable,S,Payment,N,"-C$4,280.80",,"-4,280.80",,1.00,
,,,,,,Accounts Receivable,S,,N,-C$0.20,,-0.20,,1.00,
2013-09-16,Accounts Receivable,,ISV,,ISV,Checking Account,T,Payment,N,"-C$3,000.00",,"-3,000.00",,,
,,,,,,Checking Account,S,Payment,N,,"C$3,000.00",,"3,000.00",,1.00
,,,,,ISV,Accounts Receivable,S,Payment,N,"-C$3,000.00",,"-3,000.00",,1.00,
2013-12-13,Accounts Receivable,,ISV,CNRC Re-invoice resulted in payment of part of #333,ISV,Checking Account,T,Payment,N,"-C$4,875.00",,"-4,875.00",,,
,,,,,,Checking Account,S,Payment,N,,"C$4,875.00",,"4,875.00",,1.00
,,,,,ISV,Accounts Receivable,S,Payment,N,"-C$4,875.00",,"-4,875.00",,1.00,
2014-03-11,Accounts Receivable,337,RREMOVED,,,-- Split Transaction --,T,Invoice,N,"C$8,623.13",,"8,623.13",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$8,623.13",,"8,623.13",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$748.13,,-748.13,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$375.00,,-375.00,,1.00
,,,,,,PhoPhlo,S,Invoice,N,,"-C$7,500.00",,"-7,500.00",,1.00
2014-04-28,Accounts Receivable,,RREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"-C$8,623.13",,"-8,623.13",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$8,623.13",,"8,623.13",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$8,623.13",,"-8,623.13",,1.00,
2014-04-28,Accounts Receivable,,RREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"C$8,623.13",,"8,623.13",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$8,623.13",,"8,623.13",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$8,623.13",,"-8,623.13",,1.00,
2014-04-28,Accounts Receivable,1,Depot au GA /CD QUARTIER LATIN DE MTL,RREMOVED invoice 327,Depot au GA /CD QUARTIER LATIN DE MTL,Checking Account,T,Payment,N,"-C$8,623.13",,"-8,623.13",,,
,,,,,,Checking Account,S,Payment,N,,"C$8,623.13",,"8,623.13",,1.00
,,,,,Depot au GA /CD QUARTIER LATIN DE MTL,Accounts Receivable,S,Payment,N,"-C$8,623.13",,"-8,623.13",,1.00,
2014-07-04,Accounts Receivable,1,Deposit on ATM /C.D.S. SAINT-PAUL,This REMOVED88 check later bounced,,Checking Account,T,,N,"-C$7,999.96",,"-7,999.96",,,
,,,,,,Checking Account,S,,N,,"C$7,999.96",,"7,999.96",,1.00
,,,,,,Accounts Receivable,S,,N,"-C$7,999.96",,"-7,999.96",,1.00,
2014-07-09,Accounts Receivable,2,Debit - Miscellaneous item,REMOVED88 Check bounced,,Checking Account,T,,N,"C$7,999.96",,"7,999.96",,,
,,,,,,Accounts Receivable,S,,N,"C$7,999.96",,"7,999.96",,1.00,
,,,,,,Checking Account,S,,N,,"-C$7,999.96",,"-7,999.96",,1.00
2014-07-10,Accounts Receivable,3,Deposit at the counter /CAISSE CENTRALE DESJ.,Transfer to pay part of the REMOVED88 invoices,Applied as payment against IVS # 333,-- Split Transaction --,T,,N,-C$760.78,,-760.78,,,
,,,,,,Checking Account,S,Payment,N,,"C$12,000.00",,"12,000.00",,1.00
,,,,,Applied as payment against IVS# 334 with remainder as bad debt,Accounts Receivable,S,Payment,N,"-C$11,239.22",,"-11,239.22",,1.00,
,,,,,Applied as payment against IVS # 333,Accounts Receivable,S,,N,-C$760.78,,-760.78,,1.00,
2014-07-10,Accounts Receivable,3,Deposit at the counter /CAISSE CENTRALE DESJ.,Transfer to pay part of the REMOVED88 invoices,Applied as payment against IVS# 334 with remainder as bad debt,-- Split Transaction --,T,Payment,N,"-C$11,239.22",,"-11,239.22",,,
,,,,,,Checking Account,S,Payment,N,,"C$12,000.00",,"12,000.00",,1.00
,,,,,Applied as payment against IVS# 334 with remainder as bad debt,Accounts Receivable,S,Payment,N,"-C$11,239.22",,"-11,239.22",,1.00,
,,,,,Applied as payment against IVS # 333,Accounts Receivable,S,,N,-C$760.78,,-760.78,,1.00,
2014-07-10,Accounts Receivable,334,IVS,,,-- Split Transaction --,T,Invoice,N,"C$11,239.22",,"11,239.22",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$11,239.22",,"11,239.22",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$975.08,,-975.08,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$488.79,,-488.79,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$9,775.35",,"-9,775.35",,1.00
2014-07-16,Accounts Receivable,7,Deposit at the counter /CAISSE CENTRALE DESJ.,REMOVED88 Check was re-transferd to us,Applied as payment against IVS #333,Checking Account,T,Payment,N,"-C$7,999.96",,"-7,999.96",,,
,,,,,,Checking Account,S,Payment,N,,"C$7,999.96",,"7,999.96",,1.00
,,,,,Applied as payment against IVS #333,Accounts Receivable,S,Payment,N,"-C$7,999.96",,"-7,999.96",,1.00,
2014-07-17,Accounts Receivable,,IVS account missmatch transfered as bad debt,,,Bad debts,T,,N,-C$0.02,,-0.02,,,
,,,,,,Bad debts,S,,N,,C$0.02,,0.02,,1.00
,,,,,,Accounts Receivable,S,,N,-C$0.02,,-0.02,,1.00,
2014-12-20,Accounts Receivable,407,IVS,,,-- Split Transaction --,T,Invoice,N,"C$2,310.84",,"2,310.84",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$2,310.84",,"2,310.84",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$200.48,,-200.48,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$100.52,,-100.52,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$2,009.84",,"-2,009.84",,1.00
2014-12-31,Accounts Receivable,3,Deposit at the counter/CAISSE CENTRALE DESJ.,REMOVED88 Invoice 407,Deposit at the counter/CAISSE CENTRALE DESJ.,Checking Account,T,Payment,N,"-C$2,310.84",,"-2,310.84",,,
,,,,,,Checking Account,S,Payment,N,,"C$2,310.84",,"2,310.84",,1.00
,,,,,Deposit at the counter/CAISSE CENTRALE DESJ.,Accounts Receivable,S,Payment,N,"-C$2,310.84",,"-2,310.84",,1.00,
2015-01-19,Accounts Receivable,408,IVS,,,-- Split Transaction --,T,Invoice,N,"C$3,590.03",,"3,590.03",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$3,590.03",,"3,590.03",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$311.46,,-311.46,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$156.14,,-156.14,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$3,122.43",,"-3,122.43",,1.00
2015-02-09,Accounts Receivable,00001,Deposit at the counter /CAISSE CENTRALE DESJ.,REMOVED88 Invoice 408,Deposit at the counter /CAISSE CENTRALE DESJ.,Checking Account,T,Payment,N,"-C$3,590.03",,"-3,590.03",,,
,,,,,,Checking Account,S,Payment,N,,"C$3,590.03",,"3,590.03",,1.00
,,,,,Deposit at the counter /CAISSE CENTRALE DESJ.,Accounts Receivable,S,Payment,N,"-C$3,590.03",,"-3,590.03",,1.00,
2015-06-19,Accounts Receivable,409,IVS,,,-- Split Transaction --,T,Invoice,N,"C$4,785.84",,"4,785.84",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$4,785.84",,"4,785.84",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$415.21,,-415.21,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$208.13,,-208.13,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$4,162.50",,"-4,162.50",,1.00
2015-06-19,Accounts Receivable,410,IVS,,,-- Split Transaction --,T,Invoice,N,C$510.49,,510.49,,,
,,,,,,Accounts Receivable,S,Invoice,N,C$510.49,,510.49,,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$44.29,,-44.29,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$22.20,,-22.20,,1.00
,,,,,,REMOVED88,S,Invoice,N,,-C$444.00,,-444.00,,1.00
2015-07-13,Accounts Receivable,4,Deposit at the counter/CAISSE CENTRALE DESJ.,,Deposit at the counter/CAISSE CENTRALE DESJ.,-- Split Transaction --,T,Payment,N,"-C$4,785.84",,"-4,785.84",,,
,,,,,,Checking Account,S,Payment,N,,"C$5,296.33",,"5,296.33",,1.00
,,,,,Deposit at the counter/CAISSE CENTRALE DESJ.,Accounts Receivable,S,Payment,N,-C$510.49,,-510.49,,1.00,
,,,,,Deposit at the counter/CAISSE CENTRALE DESJ.,Accounts Receivable,S,Payment,N,"-C$4,785.84",,"-4,785.84",,1.00,
2015-07-13,Accounts Receivable,4,Deposit at the counter/CAISSE CENTRALE DESJ.,,Deposit at the counter/CAISSE CENTRALE DESJ.,-- Split Transaction --,T,Payment,N,-C$510.49,,-510.49,,,
,,,,,,Checking Account,S,Payment,N,,"C$5,296.33",,"5,296.33",,1.00
,,,,,Deposit at the counter/CAISSE CENTRALE DESJ.,Accounts Receivable,S,Payment,N,-C$510.49,,-510.49,,1.00,
,,,,,Deposit at the counter/CAISSE CENTRALE DESJ.,Accounts Receivable,S,Payment,N,"-C$4,785.84",,"-4,785.84",,1.00,
2015-07-20,Accounts Receivable,411,HSREMOVED,,,-- Split Transaction --,T,Invoice,N,"C$1,767.17",,"1,767.17",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$1,767.17",,"1,767.17",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$153.31,,-153.31,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$76.86,,-76.86,,1.00
,,,,,,ExpoCite,S,Invoice,N,,"-C$1,537.00",,"-1,537.00",,1.00
2015-07-20,Accounts Receivable,412,IVS,,,-- Split Transaction --,T,Invoice,N,"C$1,595.28",,"1,595.28",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$1,595.28",,"1,595.28",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$138.40,,-138.40,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$69.38,,-69.38,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$1,387.50",,"-1,387.50",,1.00
2015-08-17,Accounts Receivable,1,Deposit on ATM /CD QUARTIER LATIN DE MTL,,Deposit on ATM /CD QUARTIER LATIN DE MTL,Checking Account,T,Payment,N,"-C$1,767.17",,"-1,767.17",,,
,,,,,,Checking Account,S,Payment,N,,"C$1,767.17",,"1,767.17",,1.00
,,,,,Deposit on ATM /CD QUARTIER LATIN DE MTL,Accounts Receivable,S,Payment,N,"-C$1,767.17",,"-1,767.17",,1.00,
2015-09-08,Accounts Receivable,2,Deposit at the counter /CAISSE CENTRALE DESJ.,,Deposit at the counter /CAISSE CENTRALE DESJ.,Checking Account,T,Payment,N,"-C$1,595.28",,"-1,595.28",,,
,,,,,,Checking Account,S,Payment,N,,"C$1,595.28",,"1,595.28",,1.00
,,,,,Deposit at the counter /CAISSE CENTRALE DESJ.,Accounts Receivable,S,Payment,N,"-C$1,595.28",,"-1,595.28",,1.00,
2016-03-21,Accounts Receivable,413,IVS,,,-- Split Transaction --,T,Invoice,N,"C$4,977.27",,"4,977.27",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$4,977.27",,"4,977.27",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$431.82,,-431.82,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$216.45,,-216.45,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$4,329.00",,"-4,329.00",,1.00
2017-01-13,Accounts Receivable,00005,Deposit on ATM /CDS SAINT-PAUL,,,Checking Account,T,,N,"-C$4,977.27",,"-4,977.27",,,
,,,,,,Checking Account,S,,N,,"C$4,977.27",,"4,977.27",,1.00
,,,,,,Accounts Receivable,S,,N,"-C$4,977.27",,"-4,977.27",,1.00,
